Timestamp,BPM,RRIntervals
1779182881369,103,"[568,562,562,562,562,562,562,562,562,568,568,574,574,574,580,585,591,597,603,610]"
1779182880869,104,"[562,562,562,562,562,562,562,562,568,568,574,574,574,580,585,591,597,603,610,616]"
1779182880371,104,"[562,562,562,562,562,562,568,568,574,574,574,580,585,591,597,603,610,616,616,623]"
1779182879872,104,"[562,562,562,562,562,562,568,568,574,574,574,580,585,591,597,603,610,616,616,623]"
1779182879373,104,"[562,562,562,562,562,568,568,574,574,574,580,585,591,597,603,610,616,616,623,629]"
1779182878875,104,"[562,562,562,562,568,568,574,574,574,580,585,591,597,603,610,616,616,623,629,629]"
1779182878376,104,"[562,562,562,568,568,574,574,574,580,585,591,597,603,610,616,616,623,629,629,636]"
1779182877877,104,"[562,562,568,568,574,574,574,580,585,591,597,603,610,616,616,623,629,629,636,636]"
1779182877379,104,"[562,568,568,574,574,574,580,585,591,597,603,610,616,616,623,629,629,636,636,636]"
1779182876880,103,"[568,568,574,574,574,580,585,591,597,603,610,616,616,623,629,629,636,636,636,636]"
1779182876385,103,"[568,574,574,574,580,585,591,597,603,610,616,616,623,629,629,636,636,636,636,636]"
1779182875882,102,"[574,574,574,580,585,591,597,603,610,616,616,623,629,629,636,636,636,636,636,636]"
1779182875384,102,"[574,574,580,585,591,597,603,610,616,616,623,629,629,636,636,636,636,636,636,636]"
1779182874885,102,"[574,580,585,591,597,603,610,616,616,623,629,629,636,636,636,636,636,636,636,636]"
1779182874386,101,"[580,585,591,597,603,610,616,616,623,629,629,636,636,636,636,636,636,636,636,636]"
1779182873888,100,"[585,591,597,603,610,616,616,623,629,629,636,636,636,636,636,636,636,636,636,636]"
1779182873390,99,"[591,597,603,610,616,616,623,629,629,636,636,636,636,636,636,636,636,636,636,636]"
1779182872890,98,"[597,603,610,616,616,623,629,629,636,636,636,636,636,636,636,636,636,636,636,636]"
1779182872391,97,"[603,610,616,616,623,629,629,636,636,636,636,636,636,636,636,636,636,636,636,643]"
1779182871892,96,"[610,616,616,623,629,629,636,636,636,636,636,636,636,636,636,636,636,636,643,643]"
1779182871394,95,"[616,616,623,629,629,636,636,636,636,636,636,636,636,636,636,636,636,643,643,643]"
1779182870895,95,"[616,623,629,629,636,636,636,636,636,636,636,636,636,636,636,636,643,643,643,643]"
